cdc-center |127.0.0.1 |2025-04-25 13:37:35.523 |  INFO | main | org.springframework.boot.StartupInfoLogger : 55 | Starting CdcCenterApplication on mudeMacBook-Pro.local with PID 80105 (/Users/muxiaohui/flink-cdc/target/classes started by muxiaohui in /Users/muxiaohui/flink-cdc)
cdc-center |127.0.0.1 |2025-04-25 13:37:35.528 |  INFO | main | org.springframework.boot.SpringApplication : 655 | The following profiles are active: dev
cdc-center |127.0.0.1 |2025-04-25 13:37:36.456 |  INFO | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate : 249 | Multiple Spring Data modules found, entering strict repository configuration mode!
cdc-center |127.0.0.1 |2025-04-25 13:37:36.459 |  INFO | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate : 127 | Bootstrapping Spring Data Redis repositories in DEFAULT mode.
cdc-center |127.0.0.1 |2025-04-25 13:37:36.535 |  INFO | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate : 187 | Finished Spring Data repository scanning in 51ms. Found 0 Redis repository interfaces.
cdc-center |127.0.0.1 |2025-04-25 13:37:37.022 |  INFO | main | org.springframework.integration.config.DefaultConfiguringBeanFactoryPostProcessor : 213 | No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
cdc-center |127.0.0.1 |2025-04-25 13:37:37.031 |  INFO | main | org.springframework.integration.config.DefaultConfiguringBeanFactoryPostProcessor : 300 | No bean named 'taskScheduler' has been explicitly defined. Therefore, a default ThreadPoolTaskScheduler will be created.
cdc-center |127.0.0.1 |2025-04-25 13:37:37.036 |  INFO | main | org.springframework.integration.config.DefaultConfiguringBeanFactoryPostProcessor : 460 | No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
cdc-center |127.0.0.1 |2025-04-25 13:37:37.218 |  INFO | main | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : 330 | Bean 'org.springframework.integration.config.IntegrationManagementConfiguration' of type [org.springframework.integration.config.IntegrationManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
cdc-center |127.0.0.1 |2025-04-25 13:37:37.225 |  INFO | main | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : 330 | Bean 'org.springframework.boot.autoconfigure.integration.IntegrationAutoConfiguration$IntegrationJmxConfiguration' of type [org.springframework.boot.autoconfigure.integration.IntegrationAutoConfiguration$IntegrationJmxConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
cdc-center |127.0.0.1 |2025-04-25 13:37:37.235 |  INFO | main | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : 330 | Bean 'org.springframework.boot.autoconfigure.jmx.JmxAutoConfiguration' of type [org.springframework.boot.autoconfigure.jmx.JmxAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
cdc-center |127.0.0.1 |2025-04-25 13:37:37.242 |  INFO | main | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : 330 | Bean 'mbeanServer' of type [com.sun.jmx.mbeanserver.JmxMBeanServer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
cdc-center |127.0.0.1 |2025-04-25 13:37:37.270 |  INFO | main | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : 330 | Bean 'integrationChannelResolver' of type [org.springframework.integration.support.channel.BeanFactoryChannelResolver] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
cdc-center |127.0.0.1 |2025-04-25 13:37:37.278 |  INFO | main | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : 330 | Bean 'integrationDisposableAutoCreatedBeans' of type [org.springframework.integration.config.annotation.Disposables] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
cdc-center |127.0.0.1 |2025-04-25 13:37:37.571 |  INFO | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer : 92 | Tomcat initialized with port(s): 8255 (http)
cdc-center |127.0.0.1 |2025-04-25 13:37:37.642 |  INFO | main | org.apache.juli.logging.DirectJDKLog : 173 | Initializing ProtocolHandler ["http-nio-8255"]
cdc-center |127.0.0.1 |2025-04-25 13:37:37.644 |  INFO | main | org.apache.juli.logging.DirectJDKLog : 173 | Starting service [Tomcat]
cdc-center |127.0.0.1 |2025-04-25 13:37:37.645 |  INFO | main | org.apache.juli.logging.DirectJDKLog : 173 | Starting Servlet engine: [Apache Tomcat/9.0.31]
cdc-center |127.0.0.1 |2025-04-25 13:37:37.770 |  INFO | main | org.apache.juli.logging.DirectJDKLog : 173 | Initializing Spring embedded WebApplicationContext
cdc-center |127.0.0.1 |2025-04-25 13:37:37.770 |  INFO | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : 284 | Root WebApplicationContext: initialization completed in 2190 ms
cdc-center |127.0.0.1 |2025-04-25 13:37:38.372 |  INFO | main | com.zaxxer.hikari.HikariDataSource : 110 | HikariPool-1 - Starting...
cdc-center |127.0.0.1 |2025-04-25 13:37:38.873 |  INFO | main | com.zaxxer.hikari.HikariDataSource : 123 | HikariPool-1 - Start completed.
cdc-center |127.0.0.1 |2025-04-25 13:37:39.011 |  WARN | main | com.baomidou.mybatisplus.core.toolkit.TableInfoHelper : 250 | Warn: Could not find @TableId in Class: com.panda.cdc.dao.entity.MCdcTenants.
cdc-center |127.0.0.1 |2025-04-25 13:37:39.321 |  WARN | main | com.baomidou.mybatisplus.core.toolkit.TableInfoHelper : 250 | Warn: Could not find @TableId in Class: com.panda.cdc.dao.entity.MCdcDataTask.
cdc-center |127.0.0.1 |2025-04-25 13:37:39.409 |  WARN | main | com.baomidou.mybatisplus.core.toolkit.TableInfoHelper : 250 | Warn: Could not find @TableId in Class: com.panda.cdc.dao.entity.MCdcMenu.
cdc-center |127.0.0.1 |2025-04-25 13:37:39.445 |  WARN | main | com.baomidou.mybatisplus.core.toolkit.TableInfoHelper : 250 | Warn: Could not find @TableId in Class: com.panda.cdc.dao.entity.MCdcRole.
cdc-center |127.0.0.1 |2025-04-25 13:37:39.499 |  WARN | main | com.baomidou.mybatisplus.core.toolkit.TableInfoHelper : 250 | Warn: Could not find @TableId in Class: com.panda.cdc.dao.entity.MCdcTenantsDepartment.
cdc-center |127.0.0.1 |2025-04-25 13:37:39.677 |  WARN | main | com.baomidou.mybatisplus.core.toolkit.TableInfoHelper : 250 | Warn: Could not find @TableId in Class: com.panda.cdc.dao.entity.MCdcUser.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.014 | DEBUG | main | org.hibernate.validator.internal.engine.resolver.TraversableResolvers : 60 | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.017 | DEBUG | main | org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator : 89 | Loaded expression factory via original TCCL
cdc-center |127.0.0.1 |2025-04-25 13:37:40.020 | DEBUG | main | org.hibernate.validator.internal.engine.resolver.TraversableResolvers : 60 | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.022 | DEBUG | main | org.hibernate.validator.internal.engine.ConfigurationImpl : 148 | Setting custom MessageInterpolator of type org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator
cdc-center |127.0.0.1 |2025-04-25 13:37:40.023 | DEBUG | main | org.hibernate.validator.internal.engine.ConfigurationImpl : 180 | Setting custom ConstraintValidatorFactory of type org.springframework.validation.beanvalidation.SpringConstraintValidatorFactory
cdc-center |127.0.0.1 |2025-04-25 13:37:40.023 | DEBUG | main | org.hibernate.validator.internal.engine.ConfigurationImpl : 194 | Setting custom ParameterNameProvider of type org.springframework.validation.beanvalidation.LocalValidatorFactoryBean$1
cdc-center |127.0.0.1 |2025-04-25 13:37:40.026 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 120 | Trying to load META-INF/validation.xml for XML based Validator configuration.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.027 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 53 | Trying to load META-INF/validation.xml via user class loader
cdc-center |127.0.0.1 |2025-04-25 13:37:40.028 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 60 | Trying to load META-INF/validation.xml via TCCL
cdc-center |127.0.0.1 |2025-04-25 13:37:40.029 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 66 | Trying to load META-INF/validation.xml via Hibernate Validator's class loader
cdc-center |127.0.0.1 |2025-04-25 13:37:40.031 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 127 | No META-INF/validation.xml found. Using annotation based configuration only.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.038 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 578 | HV000234: Using org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator as ValidatorFactory-scoped message interpolator.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.039 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 579 | HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.039 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 580 | HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
cdc-center |127.0.0.1 |2025-04-25 13:37:40.039 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 581 | HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
